Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
ORT.1.9_2012,ORT.1.9,T_2n,2012,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.1.9_2021,ORT.1.9,T_2n,2021,Jordan Valley,42.9745,-117.1854,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.2.10_2012,ORT.2.10,T_2n,2012,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.3_2012,ORT.2.3,T_2n,2012,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.3_2021,ORT.2.3,T_2n,2021,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.4_2012,ORT.2.4,T_2n,2012,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.4_2021,ORT.2.4,T_2n,2021,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.5_2012,ORT.2.5,T_2n,2012,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.5_2021,ORT.2.5,T_2n,2021,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.6_2012,ORT.2.6,T_2n,2012,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.9_2012,ORT.2.9,T_2n,2012,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.2.9_2021,ORT.2.9,T_2n,2021,Echo,45.7589,-119.2076,Columbia Plateau,Yes,Yes,Yes,Yes
ORT.3.1_2012,ORT.3.1,T_2n,2012,Beatty Butte T,42.3263,-119.3665,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.3.10_2012,ORT.3.10,T_2n,2012,Beatty Butte T,42.3263,-119.3665,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.3.5_2012,ORT.3.5,T_2n,2012,Beatty Butte T,42.3263,-119.3665,Northern Basin and Range,Yes,Yes,Yes,Yes
ORT.3.7_2012,ORT.3.7,T_2n,2012,Beatty Butte T,42.3263,-119.3665,Northern Basin and Range,Yes,No,Yes,Yes
ORTV.2.4_2012,ORTV.2.4,T_2n,2012,Beatty Butte V,42.3208,-119.3539,Northern Basin and Range,No,No,No,No
ORTW.2.1_2012,ORTW.2.1,T_2n,2012,Beatty Butte W,42.3166,-119.3928,Northern Basin and Range,Yes,No,Yes,Yes
ORV.1.1_2012,ORV.1.1,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.10_2012,ORV.1.10,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.10_2021,ORV.1.10,V_4n,2021,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.3_2012,ORV.1.3,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.4_2012,ORV.1.4,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.5_2012,ORV.1.5,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.6_2012,ORV.1.6,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORV.1.8_2012,ORV.1.8,V_4n,2012,Lookout Mtn,44.4883,-117.3233,Blue Mountains,Yes,No,No,No
ORW.1.1_2012,ORW.1.1,W_4n,2012,West of Juntura,43.7853,-118.2594,Northern Basin and Range,Yes,No,Yes,No
ORW.1.1_2021,ORW.1.1,W_4n,2021,West of Juntura,43.7853,-118.2594,Northern Basin and Range,Yes,Yes,Yes,No
UTT.1.1_2012,UTT.1.1,T_2n,2012,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTT.1.1_2021,UTT.1.1,T_2n,2021,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,No,Yes,Yes,Yes
UTT.1.2_2012,UTT.1.2,T_2n,2012,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
